DILIrank_ID,Compound_SMILES,DILI_Concern,Simplified_DILI_Concern,DILI-c_MLP_Predicted_Simplified_DILI_Concern,DILI_Severity,Simplified_DILI_Severity,DILI-s_MLP_Predicted_Simplified_DILI_Severity
benzarone,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC=C(C=C3)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
benzbromarone,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
benziodarone,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)O)I,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
bromfenac,C1=CC(=C(C(=C1)CC(=O)O)N)C(=O)C2=CC=C(C=C2)Br,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
cinchophen,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
clomacran,CN(C)CCCC1C2=CC=CC=C2NC3=C1C=C(C=C3)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
clometacin,CC1=C(C2=C(N1CC(=O)O)C=C(C=C2)OC)C(=O)C3=CC=C(C=C3)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
cyclofenil,CC(=O)OC1=CC=C(C=C1)C(=C2CCCCC2)C3=CC=C(C=C3)OC(=O)C,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
exifone,C1=CC(=C(C(=C1C(=O)C2=CC(=C(C(=C2)O)O)O)O)O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
fenclozic acid,C1=CC(=CC=C1C2=NC(=CS2)CC(=O)O)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
fipexide,C1CN(CCN1CC2=CC3=C(C=C2)OCO3)C(=O)COC4=CC=C(C=C4)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
glafenine,C1=CC=C(C(=C1)C(=O)OCC(CO)O)NC2=C3C=CC(=CC3=NC=C2)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
ibufenac,CC(C)CC1=CC=C(C=C1)CC(=O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
iproniazid,CC(C)NNC(=O)C1=CC=NC=C1,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
isaxonine,CC(C)NC1=NC=CC=N1,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
lumiracoxib,CC1=CC(=C(C=C1)NC2=C(C=CC=C2Cl)F)CC(=O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
mebanazine,CC(C1=CC=CC=C1)NN,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Low-DILI-Severity
mepazine,CN1CCCC(C1)CN2C3=CC=CC=C3SC4=CC=CC=C42,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
moxisylyte,CC1=CC(=C(C=C1OC(=O)C)C(C)C)OCCN(C)C,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
nialamide,C1=CC=C(C=C1)CNC(=O)CCNNC(=O)C2=CC=NC=C2,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
niperotidine,CN(C)CC1=CC=C(O1)CSCCN/C(=C\[N+](=O)[O-])/NCC2=CC3=C(C=C2)OCO3,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
nitrefazole,CC1=NC(=CN1C2=CC=C(C=C2)[N+](=O)[O-])[N+](=O)[O-],vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
nomifensine,CN1CC(C2=C(C1)C(=CC=C2)N)C3=CC=CC=C3,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
oxyphenisatin,CC(=O)OC1=CC=C(C=C1)C2(C3=CC=CC=C3NC2=O)C4=CC=C(C=C4)OC(=O)C,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
pemoline,C1=CC=C(C=C1)C2C(=O)N=C(O2)N,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
perhexiline,C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Low-DILI-Severity
phenoxypropazine,CC(COC1=CC=CC=C1)NN,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
pipamazine,C1CN(CCC1C(=O)N)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
pirprofen,CC(C1=CC(=C(C=C1)N2CC=CC2)Cl)C(=O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
sitaxsentan,CC1=CC2=C(C=C1CC(=O)C3=C(C=CS3)S(=O)(=O)NC4=C(C(=NO4)C)Cl)OCO2,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
sulcotidil,CCCCCCCCNC(C)C(C1=CC=C(C=C1)SC(C)C)O,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
sulfacarbamide,C1=CC(=CC=C1N)S(=O)(=O)NC(=O)N,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
sulfathiazole,C1=CC(=CC=C1N)S(=O)(=O)NC2=NC=CS2,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
ticrynafen,C1=CSC(=C1)C(=O)C2=C(C(=C(C=C2)OCC(=O)O)Cl)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
tilbroquinol,CC1=CC(=C(C2=C1C=CC=N2)O)Br,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
tolrestat,CN(CC(=O)O)C(=S)C1=CC=CC2=C1C=CC(=C2C(F)(F)F)OC,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
triacetyldiphenolisatin,CC(=O)N1C2=CC=CC=C2C(C1=O)(C3=CC=C(C=C3)OC(=O)C)C4=CC=C(C=C4)OC(=O)C,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
xenazoic acid,CCOC(C(=O)C1=CC=C(C=C1)C2=CC=CC=C2)NC3=CC=C(C=C3)C(=O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
ximelagatran,CCOC(=O)CN[C@H](C1CCCCC1)C(=O)N2CC[C@H]2C(=O)NCC3=CC=C(C=C3)/C(=N/O)/N,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
zimelidine,CN(C)CC=C(C1=CC=C(C=C1)Br)C2=CN=CC=C2,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
aplaviroc ,CCCCN1C(=O)[C@H](NC(=O)C12CCN(CC2)CC3=CC=C(C=C3)OC4=CC=C(C=C4)C(=O)O)[C@@H](C5CCCCC5)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
dermatan,CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@H]1O)CO)OS(=O)(=O)[O-])O[C@H]2[C@@H]([C@H]([C@@H]([C@@H](O2)C(=O)[O-])O)O)O,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
falnidamol ,CN1CCC(CC1)NC2=NC=C3C(=N2)C(=NC=N3)NC4=CC(=C(C=C4)F)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
fialuridine,C1=C(C(=O)NC(=O)N1[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)F)I,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
fiduxosin ,COC1=CC=CC2=C1[C@@H]3CN(C[C@@H]3CO2)CCCCN4C(=O)C5=C(C6=NC(=CN=C6S5)C7=CC=CC=C7)NC4=O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
pafuramidine ,CO/N=C(\N)/C1=CC=C(C=C1)C2=CC=C(O2)C3=CC=C(C=C3)/C(=N/OC)/N,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
pralnacasan ,CCO[C@H]1[C@H](CC(=O)O1)NC(=O)[C@@H]2CCCN3N2C(=O)[C@H](CCC3=O)NC(=O)C4=NC=CC5=CC=CC=C54,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
tasosartan,CC1=C2CCC(=O)N(C2=NC(=N1)C)CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
acitretin,CC1=CC(=C(C(=C1/C=C/C(=C/C=C/C(=C\C(=O)O)/C)/C)C)C)OC,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,5,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
amiodarone,CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCCN(CC)CC)I,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
bosentan,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,7,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
cytarabine,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,3,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
danazol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=CC5=C(C[C@]34C)C=NO5,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
dantrolene,C1C(=O)NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-],vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
deferasirox,C1=C/C(=C/2\N/C(=C\3/C=CC=CC3=O)/N(N2)C4=CC=C(C=C4)C(=O)O)/C(=O)C=C1,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,7,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
felbamate,C1=CC=C(C=C1)C(COC(=O)N)COC(=O)N,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,7,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
flutamide,CC(C)C(=O)NC1=CC(=C(C=C1)[N+](=O)[O-])C(F)(F)F,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
isoniazid,C1=CN=CC=C1C(=O)NN,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
ketoconazole,CC(=O)N1CCN(CC1)C2=CC=C(C=C2)OC[C@@H]3CO[C@@](O3)(CN4C=CN=C4)C5=C(C=C(C=C5)Cl)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
lapatinib,CS(=O)(=O)CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=CC(=CC=C5)F)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
leflunomide,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
methotrexate,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,3,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
mexiletine,CC1=C(C(=CC=C1)C)OCC(C)N,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,3,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
nefazodone,CCC1=NN(C(=O)N1CCOC2=CC=CC=C2)CCCN3CCN(CC3)C4=CC(=CC=C4)Cl,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
nevirapine,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
oxandrolone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(COC(=O)C4)C,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Low-DILI-Severity
oxymetholone,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C)O)CC[C@@H]4[C@@]3(CC(=CO)C(=O)C4)C,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,7,Moderate-High-DILI-Severity,Low-DILI-Severity
pazopanib,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
pentostatin,C1[C@H](C2=C(NC=N1)N(C=N2)C3CC(C(O3)CO)O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,3,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
propylthiouracil,CCCC1=CC(=O)NC(=S)N1,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
stavudine,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
sunitinib,CCN(CC)CCNC(=O)C1=C(NC(=C1C)/C=C\2/C3=C(C=CC(=C3)F)NC2=O)C,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
tolcapone,CC1=CC=C(C=C1)C(=O)C2=CC(=C(C(=C2)O)O)[N+](=O)[O-],vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
valproic acid,CCCC(CCC)C(=O)O,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
zidovudine,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)N=[N+]=[N-],vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
divalproex sodium,CCCC(CCC)C(=O)O.CCCC(CCC)C(=O)[O-].[Na+],vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
eltrombopag olamine,CC1=C(C=C(C=C1)N2C(=O)C(=C(N2)C)N/N=C/3\C=CC=C(C3=O)C4=CC(=CC=C4)C(=O)O)C.C(CO)N.C(CO)N,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,4,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
maraviroc,CC1=NN=C(N1C2C[C@H]3CC[C@@H](C2)N3CC[C@@H](C4=CC=CC=C4)NC(=O)C5CCC(CC5)(F)F)C(C)C,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,3,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
tipranavir,CCC[C@]1(CC(=O)C(=C(O1)O)[C@H](CC)C2=CC(=CC=C2)NS(=O)(=O)C3=NC=C(C=C3)C(F)(F)F)CCC4=CC=CC=C4,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
4-aminosalicylic acid,C1=CC(=C(C=C1N)O)C(=O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,5,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
abacavir,C1CC1NC2=NC(=NC3=C2N=CN3C4C[C@H](C=C4)CO)N,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
acarbose,C[C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](O[C@@H]([C@@H]([C@H]2O)O)O[C@@H]3[C@H](O[C@H]([C@@H]([C@H]3O)O)O)CO)CO)O)O)N[C@H]4C=C([C@@H]([C@@H]([C@H]4O)O)O)CO,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Low-DILI-Severity
acetaminophen,CC(=O)NC1=CC=C(C=C1)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,5,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
albendazole,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,7,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
allopurinol,C1=C2C(=NC=NC2=O)NN1,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
atomoxetine,CC1=CC=CC=C1O[C@H](CCNC)C2=CC=CC=C2,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
atorvastatin,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,5,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,5,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
bexarotene,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
bicalutamide,C[C@](CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
bortezomib,B([C@@H](CC(C)C)NC(=O)[C@@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,7,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
busulfan,CS(=O)(=O)OCCCCOS(=O)(=O)C,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Low-DILI-Severity
carbamazepine,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,7,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
chlorzoxazone,C1=CC2=C(C=C1Cl)NC(=O)O2,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
ciprofloxacin,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,7,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
clarithromycin,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)O)(C)O,vMost-DILI-Concern,High-DILI-Concern,High-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,vMost-DILI-Concern,High-DILI-Concern,Low-DILI-Concern,8,Moderate-High-DILI-Severity,Moderate-High-DILI-Severity
