DB_ID,SMILES_Representation
DB00126,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O
DB00130,NC(=O)CC[C@H](N)C(=O)O
DB00134,CSCC[C@H](N)C(=O)O
DB00136,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O
DB00140,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C
DB00142,N[C@@H](CCC(=O)O)C(=O)O
DB00146,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)(C)O
DB00150,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)O
DB00152,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
DB00153,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C
DB00158,Nc1nc(=O)c2nc(CNc3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
DB00162,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
DB00163,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
DB00165,Cc1ncc(CO)c(CO)c1O
DB00166,O=C(O)CCCC[C@@H]1CCSS1
DB00169,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CCCC(C)C
DB00170,CC1=CC(=O)c2ccccc2C1=O
DB00175,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
DB00176,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
DB00177,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C
DB00178,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21
DB00179,C[C@@H](Cc1ccc(O)c(O)c1)[C@H](C)Cc1ccc(O)c(O)c1
DB00180,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
DB00181,NCC(CC(=O)O)c1ccc(Cl)cc1
DB00182,CC(N)Cc1ccccc1
DB00184,CN1CCC[C@H]1c1cccnc1
DB00185,CC1O[C@@]2(CS1)CN1CCC2CC1
DB00186,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
DB00187,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
DB00188,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
DB00189,C#CC(O)(/C=C/Cl)CC
DB00190,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(=O)O
DB00191,CC(C)(N)Cc1ccccc1
DB00193,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1
DB00195,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
DB00196,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
DB00198,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
DB00199,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O
DB00201,Cn1c(=O)c2c(ncn2C)n(C)c1=O
DB00202,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12
DB00204,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
DB00205,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
DB00206,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
DB00207,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O
DB00208,Clc1ccccc1CN1CCc2sccc2C1
DB00209,O=C(O[C@@H]1C[C@@H]2CC[C@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
DB00210,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
DB00211,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
DB00212,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(O)=N[C@@H](Cc1cnc[nH]1)C(O)=N[C@@H](CC1CCCCC1)[C@@H](O)[C@@H](O)C1CC1
DB00213,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
DB00214,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
DB00215,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
DB00216,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
DB00217,C/N=C(\NC)NCc1ccccc1
DB00218,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
DB00219,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
DB00220,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2C[C@H]1C(=O)NC(C)(C)C
DB00221,CCC(NC(C)C)C(O)c1ccc(O)c(O)c1
DB00222,CCC1=C(C)CN(C(O)=NCCc2ccc(S(=O)(=O)NC(O)=N[C@H]3CC[C@H](C)CC3)cc2)C1=O
DB00223,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
DB00224,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
DB00226,NC(N)=NCC1COC2(CCCCC2)O1
DB00227,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
DB00228,FC(F)OC(F)(F)C(F)Cl
DB00229,CN(C)CCn1nnnc1SCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)Cc3csc(N)n3)[C@H]2SC1
DB00230,CC(C)C[C@H](CN)CC(=O)O
DB00231,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
DB00232,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
DB00233,Nc1ccc(C(=O)O)c(O)c1
DB00234,CCOc1ccccc1O[C@H](c1ccccc1)[C@H]1CNCCO1
DB00235,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
DB00236,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
DB00237,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00238,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
DB00239,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
DB00240,C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
DB00241,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
DB00242,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
DB00243,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
DB00244,Nc1ccc(O)c(C(=O)O)c1
DB00245,CN1[C@H]2CC[C@@H]1C[C@H](OC(c1ccccc1)c1ccccc1)C2
DB00246,O=C1Cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2N1
DB00247,CCC(CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1
DB00248,C=CCN1C[C@H](C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
DB00250,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
DB00251,CC(C)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1
DB00252,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
DB00253,CC(=O)[C@H]1CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
DB00254,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
DB00255,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
DB00256,CN(C)[C@@H]1C(O)=C(C(=O)NCNCCCC[C@H](N)C(=O)O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12
DB00257,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
DB00258,CC(=O)[O-].CC(=O)[O-].[Ca+2]
DB00259,Nc1ccc(S(N)(=O)=O)cc1
DB00260,N[C@@H]1CONC1=O
DB00261,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1
DB00262,O=NN(CCCl)C(=O)NCCCl
DB00263,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
DB00264,COCCc1ccc(OCC(O)CNC(C)C)cc1
DB00266,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
DB00267,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@H]12)c1csc(N)n1
DB00268,CCCN(CCC)CCc1cccc2c1CC(=O)N2
DB00270,COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc2nonc12
DB00271,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
DB00273,CC1(C)O[C@@H]2CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@H]3[C@@H]2O1
DB00274,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21
DB00275,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1
DB00276,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
DB00277,Cn1c(=O)c2[nH]cnc2n(C)c1=O
DB00278,CC1CNc2c(cccc2S(=O)(=O)N[C@@H](CCCNC(=N)N)C(=O)N2CC[C@@H](C)C[C@@H]2C(=O)O)C1
DB00279,N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
DB00280,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
DB00281,CCN(CC)CC(=O)Nc1c(C)cccc1C
DB00282,NCCC(O)(P(=O)(O)O)P(=O)(O)O
DB00283,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
DB00284,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@H]([C@H](O)CO)[C@H](O)[C@@H](O)C=O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O
DB00285,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
DB00287,CC(C)OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@@H](O)[C@@H]1/C=C/[C@@H](O)COc1cccc(C(F)(F)F)c1
DB00288,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
DB00289,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
DB00290,Cc1c(N)nc([C@H](CC(N)=O)NC[C@H](N)C(N)=O)nc1C(=O)N[C@H](C(=O)N[C@H](C)[C@@H](O)[C@H](C)C(=O)N[C@H](C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)[C@@H](C)O)[C@@H](OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1
DB00291,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
DB00292,CCOC(=O)c1cncn1[C@H](C)c1ccccc1
DB00293,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1
DB00294,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3C(=C)C[C@@]21CC
DB00295,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
DB00296,CCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C
DB00297,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
DB00298,Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1
DB00300,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C
DB00301,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12
DB00302,NC[C@H]1CC[C@H](C(=O)O)CC1
DB00303,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12
DB00304,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
DB00305,CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12
DB00307,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
DB00308,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
DB00309,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
DB00310,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
DB00312,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
DB00313,CCCC(CCC)C(=O)O
DB00314,C[C@@H]1NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CCN=C(N)N2)NC(=O)/C(=C\NC(N)=O)NC(=O)[C@H](CNC(=O)C[C@@H](N)CCCN)NC1=O.NCCC[C@H](N)CC(=O)NC[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@@H](N)CNC(=O)[C@H]([C@H]2CCN=C(N)N2)NC(=O)/C(=C\NC(N)=O)NC1=O
DB00315,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12
DB00316,CC(=O)Nc1ccc(O)cc1
DB00317,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
DB00318,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314
DB00319,CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H](C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O
DB00320,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
DB00321,CN(C)CCC=C1c2ccccc2CCc2ccccc21
DB00322,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
DB00323,Cc1ccc(C(=O)c2cc(O)c(O)c([N+](=O)[O-])c2)cc1
DB00324,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
DB00325,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O
DB00326,O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.O=C([O-])C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.[Ca+2]
DB00327,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@H]3[C@H]1C5
DB00328,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
DB00330,CC[C@@H](CO)NCCN[C@@H](CC)CO
DB00331,CN(C)C(=N)NC(=N)N
DB00332,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
DB00333,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
DB00334,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
DB00335,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
DB00336,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
DB00337,CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@H](Cl)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
DB00338,COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
DB00339,NC(=O)c1cnccn1
DB00340,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1
DB00341,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
DB00343,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1
DB00344,CNCCCC1c2ccccc2C=Cc2ccccc21
DB00345,Nc1ccc(C(=O)NCC(=O)O)cc1
DB00346,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
DB00347,CN1C(=O)OC(C)(C)C1=O
DB00349,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
DB00350,Nc1cc(N2CCCCC2)nc(N)[n+]1[O-]
DB00351,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
DB00352,Nc1nc(=S)c2[nH]cnc2[nH]1
DB00353,CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
DB00354,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1
DB00355,C[C@H]1[C@H](NC(=O)/C(=N\OC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-]
DB00356,O=c1[nH]c2cc(Cl)ccc2o1
DB00357,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
DB00358,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
DB00359,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
DB00360,C[C@H](O)[C@H](O)[C@H]1CNc2nc(N)[nH]c(=O)c2N1
DB00361,CCC1=C[C@@H]2CN(C1)Cc1c([nH]c3ccccc13)[C@@](C(=O)OC)(c1cc3c(cc1OC)N(C)[C@H]1[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]4(CC)C=CCN5CC[C@]31[C@@H]54)C2
DB00362,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)N[C@H]4C[C@@H](O)[C@@H](O)NC(=O)[C@@H]5[C@@H](O)[C@@H](C)CN5C(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@H](O)[C@@H](O)c5ccc(O)cc5)NC(=O)[C@@H]5C[C@@H](O)CN5C(=O)[C@H]([C@@H](C)O)NC4=O)cc3)cc2)cc1
DB00363,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
DB00364,O.O=S(=O)(OC[C@H]1O[C@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](COS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O.O[Al](O)O
DB00366,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
DB00367,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC
DB00368,NC[C@H](O)c1ccc(O)c(O)c1
DB00369,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1
DB00370,CN1CCN2c3ncccc3Cc3ccccc3C2C1
DB00371,CCCC(C)(COC(N)=O)COC(N)=O
DB00373,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
DB00374,CCCCC[C@H](O)CC[C@@H]1[C@H]2Cc3cccc(OCC(=O)O)c3C[C@H]2C[C@H]1O
DB00375,ClCC1CO1.NCCNCCNCCNCCN
DB00376,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
DB00377,O=C1c2cccc3c2[C@H](CCC3)CN1[C@@H]1CN2CCC1CC2
DB00378,CC(=O)[C@H]1CC[C@H]2[C@@H]3C=CC4=CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C
DB00379,Cc1cccc(C)c1OCC(C)N
DB00380,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
DB00381,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
DB00384,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
DB00385,CCCCC(=O)OCC(=O)[C@]1(O)Cc2c(O)c3c(c(O)c2[C@@H](O[C@H]2C[C@H](NC(=O)C(F)(F)F)[C@H](O)[C@H](C)O2)C1)C(=O)c1c(OC)cccc1C3=O
DB00387,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
DB00388,CNC[C@H](O)c1cccc(O)c1
DB00389,CCOC(=O)n1ccn(C)c1=S
